polarity	pos	neg	neu	compound	text	username
neutro	0.0	0.0	1.0	0.0	"""#Migración | Basado en las proyecciones de #Acnur, el #canciller José Valencia señaló que hasta fin de  año se prevé que haya casi 500 mil venezolanos en #Ecuador."	El Telégrafo Ecuador
neutro	0.0	0.0	1.0	0.0	Migrantes venezolanos se arrodillaron frente a Policía antidisturbios de Ecuador en modo de oración http://tinyurl.com/yx93wjv7	Reportalo 24
neutro	0.0	0.0	1.0	0.0	Lenin es el culpable de tanta xenofobia aca en ecuador en contra de los venezolanos, fomento el odio y xenofobia hacia nosotros desde que llego al poder...	elvenezolano
neutro	0.0	0.0	1.0	0.0	Migrantes Venezolanos en Frontera con Ecuador #SOSVenezuelahttps://twitter.com/juanflores18/status/1165346287497154566 …	VitaDF⭐⭐⭐🇻🇪🇮🇹🇱🇷
neutro	0.0	0.0	1.0	0.0	10 fotos del drama de los miles de migrantes venezolanos en la frontera de Colombia con Ecuador Una masiva llegada de miles de migrantes venezolanos a Ecuador por la frontera norte con Colombia se registró hasta el domingo, a pocas horas ... http://twib.in/l/pMoEd7yGao75  #PerúNoticias	Perú Noticias
neutro	0.0	0.0	1.0	0.0	"""#Mundo #Ecuador, #Perú y #Chile acordaron gestionar """"una migración segura"""" a venezolanos http://bit.ly/2Ln3dYa pic.twitter.com/MD8JIZVqKm"""	El Periodiquito
neutro	0.0	0.0	1.0	0.0	#ENMundo Ecuador: Visa a venezolanos promueve una migración segura y ordenada http://bit.ly/2ZoR9KQ  pic.twitter.com/xIrMprERCe	El Nacional
negativo	0.0	0.062	0.937	-0.296	No me extrañaría que detrás de estos disturbios ocurridos en Ecuador, Chile estén las lacras  chavistas que este Gobierno haya infiltrado en estos países aprovechando la masiva migración de venezolanos. Es su modus operandus	Nelly Cumaraima
neutro	0.0	0.0	1.0	0.0	Ecuador lanzó un importante anuncio para migrantes venezolanos http://bit.ly/2M4YcC9 pic.twitter.com/uPBmaVD1Xf	EP | Venezuela
neutro	0.0	0.0	1.0	0.0	#AHORA David Smolansky: Ecuador, Perú, Chile, Trinidad y Tobago, Guatemala, El Salvador, Honduras y Panamá, son los países de A. Latina  que le piden visas a migrantes y refugiados venezolanos. Nos preocupa que los países de la región le coloquen restricciones a los venezolanos.	Sumarium
neutro	0.0	0.0	1.0	0.0	#ATENCIÓN| Ministra del Interior, María Paula Romo, reveló que #Ecuador estudia una petición de Colombia para abrir un corredor humanitario a migrantes venezolanos que tengan visa para ingresar en Perú o Chile y se encuentren varados en el territorio colombiano. pic.twitter.com/VxN5NqtpGS	Radio i99 98.9FM
neutro	0.0	0.0	1.0	0.0	"""Migrantes venezolanos bloquearon frontera entre Colombia y Ecuador."	La F.M. 98.5 Cali
neutro	0.0	0.0	1.0	0.0	Guaidó considera que visado de Ecuador deja más vulnerables a migrantes venezolanos https://bit.ly/2UceGOb pic.twitter.com/L2srhLRMja	TalCual
neutro	0.062	0.0	0.938	0.34	#26Ago En las últimas horas se ha incrementado un flujo migratorio de venezolanos en la frontera de Colombia con Ecuador, debido a que a partir de este lunes, el gobierno ecuatoriano comenzará a exigir un visado excepcional humanitario a migrantes. #ElToqueDeDianapic.twitter.com/2Z5sNNN8YW	El Toque de Diana
negativo	0.0	0.22	0.78	-0.8402	Si ese gobierno fuera bueno no estuviéran invadidos Ecuador, Colombia, Panamá, Perú y Chile de tanto venezolano... No nos llegarían todos los días las imágines de gente comiendo basura, no estuviera su inflación al 1000%... No hay más ciego que el que no quiere ver...	Gabriel Riera Izurieta
neutro	0.0	0.0	1.0	0.0	Ecuador, Perú y Chile acuerdan cooperación para enfrentar migración venezolana https://www.elperiodico.com.do/internacionales/2019/09/04/ecuador-peru-y-chile-acuerdan-cooperacion-para-enfrentar-migracion-venezolana/ …pic.twitter.com/jGG30jcmvc	ElPeriodicoDO
negativo	0.0	0.091	0.909	-0.296	y Ecuador .....no tiene control para estos inmigrantes.......se dice no a la mendicidad...y eso está colapsado de venezolano en las calles. poner controles y vigilancia...... https://twitter.com/eluniversocom/status/1147563670270107648 …	CHELITA
neutro	0.0	0.0	1.0	0.0	Ecuador comienza hoy el proceso de censo de los inmigrantes venezolanos https://bit.ly/2m3BvH8  #1oct	DolarToday®
negativo	0.184	0.0	0.816	0.4019	#Noticias | ACNUR aplaude decisión de Ecuador en favor de los migrantes venezolanos http://ow.ly/bQyz101cEzK	#Noticias desde #Perú
neutro	0.0	0.0	1.0	0.0	Ecuador estudia la petición para abrir un corredor humanitario a migrantes venezolanos http://j.mp/31bGF3s              *	La Patilla
negativo	0.0	0.099	0.901	-0.296	""".@Rsalazarmedina, Docente de la @uasbecuador: Colombia , Perú  y Ecuador  reciben miles de migrantes venezolanos, pues no ven posibilidad de un cambio interno."	Ecos De Rumiñahui
neutro	0.0	0.0	1.0	0.0	Cientos de migrantes venezolanos entraron a Ecuador en últimas horas https://bit.ly/2MCU1lu pic.twitter.com/ZMe9Zu3uxC	Metropoli Hoy
negativo	0.161	0.0	0.839	0.4003	¡LAMENTABLE! Al menos 55,2% de los migrantes venezolanos en Ecuador ha sufrido discriminación #26Nov #Venezuelahttp://bit.ly/2XKMCDD	Maduradas.com
neutro	0.0	0.0	1.0	0.0	#18Sep Colombia y Ecuador se reúnen para facilitar el flujo de migrantes venezolanos en sus fronteras pic.twitter.com/6kAF5zbrCw	VPItv
neutro	0.0	0.0	1.0	0.0	¡SOLIDARIOS! Usaid reabrirá oficina en Ecuador para brindar asistencia a migrantes venezolanos #Venezuela #19Agohttp://bit.ly/2YXSflC	Maduradas.com
negativo	0.0	0.064	0.936	-0.296	Que espera el gobierno venezolano @NicolasMaduro para tomar acciones contra estos países: Argentina,Brasil,Colombia,Chile,Ecuador y Perú, ya basta de agresiones contra Venezuela, fuera todas esas  de nuestro país una por una no es trampa #EnDefensaDeLaPazhttps://twitter.com/Mision_Verdad/status/1151445011726254080 …	La Oriental
neutro	0.0	0.0	1.0	0.0	Representantes de Ecuador, Chile y Perú, conforman grupo de trabajo para enfrentar migración venezolana https://is.gd/D5kkjg	Diario Qué Pasa
neutro	0.0	0.0	1.0	0.0	Migrantes venezolanos desbloquean el paso en la frontera entre Ecuador y Colombia http://bit.ly/2HsEel7 pic.twitter.com/dibv5KOM83	El Estímulo
neutro	0.0	0.0	1.0	0.0	Migración Colombia reporta normalidad en salida de venezolanos a Ecuador http://bit.ly/321pWj5 pic.twitter.com/GUKnx5PWp6	EV Houston
neutro	0.0	0.0	1.0	0.0	Países como Colombia, Perú y Ecuador son los más afectados por la migración venezolana https://konzapata.com/noticia/72670/katalejo/el-exodo-venezolano-tambien-es-un-problema-economico-para-america-latina.html … #24Nov -	KonZapata.com
neutro	0.0	0.0	1.0	0.0	Migración de Colombia pide al Ecuador revisar imposición de visa a venezolanos https://www.larepublica.ec/blog/internacional/2019/09/05/migracion-de-colombia-pide-al-ecuador-revisar-imposicion-de-visa-a-venezolanos/ …	La República EC
neutro	0.0	0.0	1.0	0.0	"""Ecuador analiza la posibilidad de establecer un corredor humanitario para migrantes venezolanos que tengan visa para ingresar a otros países. #10Sep #FelizMartes"	El Tubazo Digital
neutro	0.0	0.0	1.0	0.0	Estos venezolanos son de miedo, fuera de Ecuador	Gorki
negativo	0.0	0.204	0.796	-0.6249	Ecuador es uno de los paises con más receptores de migrantes venezolanos huyendo de la crisis humanitaria	J Izturriaga
negativo	0.161	0.0	0.839	0.4003	¡LAMENTABLE! Al menos 55,2% de los migrantes venezolanos en Ecuador ha sufrido discriminación http://dlvr.it/RJpT1W pic.twitter.com/7Z5blNCUW5	Venezolanos.ba
neutro	0.0	0.0	1.0	0.0	@figuerjoda el descalabro Venezolano ayuda democracia en ecuador y colombia. Santos y correa comunistas asesinos	luis c gomez poveda
neutro	0.0	0.0	1.0	0.0	Publican decreto de amnistía y regulación a migración venezolana en Ecuador - Descifrado https://buff.ly/2SSx26t pic.twitter.com/coJwABqHbm	Descifrado
neutro	0.0	0.0	1.0	0.0	Barrientos: Venezolanos enfrentan en Ecuador un cerco de xenofobia inducido por el régimen de Maduro - https://elportal24.com/2019/10/barrientos-venezolanos-enfrentan-en-ecuador-un-cerco-de-xenofobia-inducido-por-el-regimen-de-maduro/ …pic.twitter.com/QSVyWsqoPZ	ElPortal24
neutro	0.0	0.0	1.0	0.0	Ecuador lanzó un importante anuncio para migrantes venezolanos http://epmundo.com/2018/ecuador-lanzo-un-importante-anuncio-para-migrantes-venezolanos/ …	TQ Venezuela
neutro	0.0	0.0	1.0	0.0	"""#23Ago Impuesto por Ecuador: Requisito de """"visado humanitario"""" para venezolanos formó embudo de migrantes en Rumichaca http://bit.ly/2ZnvS4l pic.twitter.com/aqCK6plF01"""	Contrapunto
neutro	0.0	0.0	1.0	0.0	#24Oct Ecuador desmiente entrega de bonos a migrantes venezolanos https://bit.ly/32JHQI2  #ElInformadorVenezuela #ElInformadorVe #Venezuela #Noticia #Ecuador #Migrantes #MigrantesVenezolanos #Bono #LenínMoreno #LeninMoreno #SYGApic.twitter.com/f7BSZ06CCA	El Informador Venezuela
neutro	0.0	0.0	1.0	0.0	Los países con mayor cantidad de migrantes venezolanos son Colombia, Perú, Estados Unidos, Chile, Ecuador y Brasil http://bit.ly/2ALh1a0 pic.twitter.com/jVIDuDyfF0	Contrapunto
negativo	0.0	0.109	0.891	-0.296	@seguridadnoti fuera el tirano q vende la patria  trayendo cubano I venezolano Ecuador no lo necesita fuera correa por ladron I traidor	Estefanie Correa
neutro	0.0	0.0	1.0	0.0	"""Y PERU, ECUADOR, CHILE Y BRASIL........."	MARIANO SUAREZ
neutro	0.0	0.0	1.0	0.0	Gobierno de Ecuador ratificó su compromiso con una migración segura para los venezolanos https://vozdeamerica.org/2019/09/13/gobierno-de-ecuador-ratifico-su-compromiso-con-una-migracion-segura-para-los-venezolanos/ …pic.twitter.com/ZX7FP6y9Lv	Actualidad Venezuela
neutro	0.0	0.0	1.0	0.0	Ecuador planea habilitar albergues para migrantes venezolanos http://sconfir.com/2MKnYg6 pic.twitter.com/QthW8djXkP	SuperConfirmado
neutro	0.0	0.0	1.0	0.0	Países como Colombia, Perú y Ecuador son los más afectados por la migración venezolana https://konzapata.com/noticia/72670/katalejo/el-exodo-venezolano-tambien-es-un-problema-economico-para-america-latina.html … #24Nov ,	KonZapata.com
neutro	0.0	0.0	1.0	0.0	¡LEA! Alcalde pide ayuda por aumento de migrantes venezolanos en la frontera de Colombia con Ecuador https://maduradas.com/lea-alcalde-pide-ayuda-aumento-migrantes-venezolanos-la-frontera-colombia-ecuador/ …	VZLA ANONS
neutro	0.0	0.0	1.0	0.0	Ecuador planea habilitar albergues para migrantes venezolanos http://www.costadelsolfm.net/?p=120718&utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …	Costa del Sol FM
negativo	0.0	0.08	0.92	-0.4184	Se acabaron las elecciones y los medios ya no cubren como antes la migración venezolana, hoy hay colapso en la frontera con Ecuador. Es una emergencia humanitaria y  Heyyy!! Hay niños que necesitan atención. @CancilleriaColpic.twitter.com/BsqgXXmdw1	Angélica Martínez
neutro	0.0	0.0	1.0	0.0	Ecuador dejará pasar por su territorio a migrantes venezolanos con visa de ingreso a otro país http://j.mp/308zHuz	La Patilla
neutro	0.0	0.0	1.0	0.0	Ecuador estudia  visa para migrantes venezolanos https://wp.me/paUDn7-1kF8 pic.twitter.com/DW4sbW4exh	EXTRA VENEZUELA
neutro	0.0	0.0	1.0	0.0	Migrantes venezolanos protestaron en la frontera Colombia-Ecuador http://bit.ly/32arBD2 pic.twitter.com/IcwQwTFm45	Venezuela al Dia
neutro	0.0	0.0	1.0	0.0	Ecuador impondrá visas a inmigrantes venezolano http://ow.ly/y7xq30pdK25	Edecio Brito Adrián
neutro	0.0	0.0	1.0	0.0	Alcalde pide ayuda por aumento de migrantes venezolanos en frontera de #Colombia con #Ecuador Vía @AFPespanol #AFP http://u.afp.com/J2sL pic.twitter.com/BeTBHQYCtL	Aroguden
neutro	0.0	0.0	1.0	0.0	Migración Colombia reporta normalidad en salida de venezolanos a Ecuador https://ift.tt/2KRG554  https://ift.tt/320N29v  #Noticias	Raimi Rios
neutro	0.0	0.0	1.0	0.0	Yo Fuera Presidente de  Peru Ecuador Argentina Bolivia-Chile-Trinidad,Colombia-de alguno de esos Países Recibiera a todos los VenezolanosDocumentados y a los  Indocumentados le obsequiará plazos para que se... https://www.facebook.com/100006434270314/posts/3002121413345638/ …	djmanuelgutierrez29
neutro	0.0	0.0	1.0	0.0	['noticias']	"utm_campaign=ReviveOldPost"""" dir=""""ltr"""" href=""""https://t.co/rnpzBbkcRa"""" rel=""""nofollow noopener"""" target=""""_blank"""" title=""""http://noti-america.com/site/2019/07/11/ecuador-es-el-tercer-pais-en-numero-de-acogida-de-refugiados-y-migrantes-venezolanos-segun-unicef/?utm_source=ReviveOldPost&amp"
neutro	0.0	0.0	1.0	0.0	#22Ago Colombia pondrá en marcha un plan de contingencia en el puente fronterizo de Rumichaca, ante la exigencia de visa que hará Ecuador a los migrantes venezolanos desde el próximo lunes http://bit.ly/2zfBG5m pic.twitter.com/0uZpaWhv25	Contrapunto
neutro	0.0	0.0	1.0	0.0	"""Plantón de venezolanos en #Ecuador al grito de """"libertad"""" y """"fuera dictadura"""""	Diario El Mercurio
negativo	0.0	0.091	0.909	-0.296	Ecuador exije visa a los venezolanos y en Colombia no han sido capaz detener el flujo de migrantes. Aquí van a quedar represados.: me siento triste	jhosep
neutro	0.0	0.0	1.0	0.0	¡SEPA! Ecuador durante sesión del BID: Migración venezolana tiene un costo cercano para el país de $500 millones al año #Venezuela #17Julhttp://bit.ly/30Bdy92	Maduradas.com
neutro	0.0	0.0	1.0	0.0	#LoMásVisto Últimos migrantes venezolanos acceden a Ecuador antes de requisito de visa http://j.mp/2MDJqqi	La Patilla
neutro	0.0	0.0	1.0	0.0	Migrantes venezolanos desbloquearon el tránsito en la frontera entre #Ecuador y #Colombia ,` http://bit.ly/2PgHZQP	CaraotaDigital
neutro	0.0	0.0	1.0	0.0	.@Guayana286 200 venezolanos desalojados de Guayaquil Ecuador por xenofóbia - VIDEO https://www.chismeven.net/2019/10/200-venezolanos-desalojados-de.html … https://www.chismeven.net/2019/10/200-venezolanos-desalojados-de.html …	camburo pinto
neutro	0.0	0.0	1.0	0.0	Mary Vargas Cabello enviada de Maduro en Perú junto al hermano de Ollanta Humala tienen orquestada la campaña de xenofobia contra los venezolanos así mismo están por hacer en Ecuador y Colombia hay q ubicar a esos enviados y anularlos https://twitter.com/PrincDulceMaria/status/1177636520733429760 …	Peppe Nefosi
neutro	0.0	0.0	1.0	0.0	Depuesto de su cargo por ser venezolano. Sr. presidente Lenin Moreno actúe contra la Xenofobia reinante en el Ecuador. Y ahora lo obligan a renunciar al cargo anterior. pic.twitter.com/7zVurjIv4Q	carlos davalillo
neutro	0.0	0.0	1.0	0.0	#migrantes #ecuador Ecuador: Se inicia la regularización de inmigrantes venezolanos http://dlvr.it/Rn7j8 migrantesecuador.org	José Luis Sánchez
neutro	0.0	0.0	1.0	0.0	"""Amigos, ¿conocen proyectos, líderes o ONG's que trabajen el tema de migrantes venezolanos en la frontera con Ecuador? O sea, en Ipiales (?)"	Sergio Alzate
neutro	0.0	0.0	1.0	0.0	"""""""Ya el número desborda la capacidad"""": Esto dijo Lenín Moreno sobre migrantes venezolanos en Ecuador | La iguana TV https://bit.ly/2lbA7BV pic.twitter.com/1lKPFlr0XL"""	La iguana TV
negativo	0.0	0.066	0.934	-0.296	"""Es indignante ver que a los vendedores ambulantes en todo el Ecuador los traten así, y al montón de Venezolanos que roban, arman disturbios como en barrio en Quito la policia no hace nada ."	Janneth Miranda
neutro	0.0	0.0	1.0	0.0	#Internacional | Ecuador impone visa a migrantes venezolanos http://oaxacahoy.com/2019/08/26/ecu …pic.twitter.com/WrGDASp7Xo	Fernando CRUZ PORRAS
negativo	0.062	0.0	0.938	0.34	Presidente de Ecuador promete corredor humanitario para venezolanos. El mandatario aseguró que la masiva migración de venezolanos que ha ingresado a Ecuador en busca de refugio, “ha desbordado” la capacidad de su país. Presidente de Ecuador ... http://tinyurl.com/yxa4k6sy	🇳🇮 Reportes Nicas! 🇳🇮
neutro	0.0	0.0	1.0	0.0	Alcalde pide ayuda por aumento de migrantes venezolanos en frontera de Colombia con Ecuador http://ow.ly/jPVq101JJj5	Metro Libre
neutro	0.0	0.0	1.0	0.0	Venezolanos en Ecuador se plantaron al grito de “libertad” y “fuera dictadura” http://bit.ly/2vWUS4Z	La Patilla
neutro	0.0	0.0	1.0	0.0	Dos hermanos venezolanos caminando por la carretera rumbo a Ecuador, como otros miles de migrantes en busca de un mejor futuro y repentinamente el hermano se lanzó bajo el camión. Un ataque de desesperación, angustia, nostalgia. Es duro emigrar y a pie es demasiado humillante. pic.twitter.com/XLlb80CuzO	El mas grande amor
neutro	0.0	0.0	1.0	0.0	"""#10Ag, 2018."	@LMartin
neutro	0.0	0.0	1.0	0.0	Mejor ven a Ecuador a reunirte con los migrantes venezolanos que trabajan de vendedores ambulantes !!! Han salido por la corrupción de Chávez y Maduro !!	Loly
neutro	0.0	0.0	1.0	0.0	.@MariaCorinaYA Están Hartos : Ecuador exige desde hoy la visa humanitaria a los migrantes venezolanos https://www.donlengua.com/2019/08/estan-hartos-ecuador-exige-desde-hoy-la.html …https://www.donlengua.com/2019/08/estan-hartos-ecuador-exige-desde-hoy-la.html …	papaya belgicana
negativo	0.0	0.126	0.874	-0.5574	Sigan dejando entrar a los venezolanos y eso seguirá pasando. Hay que hacer un censo y mandarlos fuera a los que andan sin trabajo. Mendigos ya hay demasiados en Ecuador.	fernando escritor
neutro	0.0	0.0	1.0	0.0	Barrientos: Venezolanos enfrentan en Ecuador un cerco de xenofobia inducido por el régimen de Maduro http://j.mp/2Vz1a8c              '	La Patilla
neutro	0.0	0.0	1.0	0.0	Gobiernos de Chile, Ecuador y Perú crearán “grupo técnico” para controlar migración de venezolanos La iguana TV https://ift.tt/2Liy89k	Veprecio.com
negativo	0.0	0.286	0.714	-0.5574	Ecuador facilitará la migración de menores venezolanos sin documentos http://bit.ly/2OJthgR	Tuiteo Barinas
neutro	0.0	0.0	1.0	0.0	¡IMPORTANTE! EEUU entregará 30.000.000 de dólares a Ecuador para atender a los migrantes venezolanos, anuncia Pompeo #23Jul #Venezuelahttp://bit.ly/2O6fpRJ	Maduradas.com
negativo	0.086	0.0	0.914	0.1759	#2A Salimos todos a las calles a defender la democracia en Ecuador y en solidaridad con nuestros hermanos venezolanos.Fuera Correa y Maduro! https://twitter.com/albertort51/status/847810299134713856 …	LIBRECUADOR
neutro	0.0	0.0	1.0	0.0	"""Ecuador inicia proceso virtual de visas humanitarias para migrantes venezolanos #TalCual #ClaroyRaspao #RegistroHumanitario"	TalCual
neutro	0.0	0.0	1.0	0.0	Y más venezolanos continuarán movilizándose, en busca de una esperanza por recuperar su vida. En Ecuador la respuesta de la sociedad civil fue más rápida y efectiva: empatía y solidaridad con ustedes hermanos migrantes. #SéLoQueEsSerMigrantehttps://twitter.com/dw_espanol/status/1028418061018296322 …	Catherine Peñafiel
neutro	0.0	0.0	1.0	0.0	Esta información debe estar errada, solo en Ecuador se superan los 300mil inmigrantes venezolanos. https://twitter.com/elnacionalweb/status/748977557916254208 …	JuanCo Ramírez
neutro	0.0	0.0	1.0	0.0	#Ecuador @elyex Venezolano César Farías, fuera de Cerro Porteño: El venezolano César Farías fue destituido est...  http://goo.gl/EdQtkX	elyex.com
neutro	0.0	0.0	1.0	0.0	En Ecuador a el francotirador lo mandarían preso. Y peor si el delincuente secuestrador fuera venezolano.	Xavi
neutro	0.0	0.0	1.0	0.0	¡TERRIBLE! Denuncian que la xenofobia en Ecuador aumentó más del 70% en el 2019 (venezolanos son los más afectados) (+Video) #5Dic #Venezuelahttp://bit.ly/2sMWXDD	Maduradas.com
neutro	0.0	0.0	1.0	0.0	Carrera contra el tiempo: Migrantes forzados venezolanos intentan pasar a Ecuador antes del lunes #26Ago http://bit.ly/2ZsP14S pic.twitter.com/iNcSs5IJV8	Contrapunto
neutro	0.0	0.0	1.0	0.0	¡LE CONTAMOS! Esto es lo que deben hacer los migrantes venezolanos atrapados en la frontera con Ecuador para lograr ingresar a ese país pic.twitter.com/dS6z2x75NF	Tuiteo Lara
neutro	0.0	0.0	1.0	0.0	La policía colombiana se despliega en la frontera de Ecuador tras nuevas restricciones a migrantes venezolanos https://elportaldesalta.com.ar/la-policia-colombiana-se-despliega-en-la-frontera-de-ecuador-tras-nuevas-restricciones-a-migrantes-venezolanos/ …pic.twitter.com/bryt9BJdQQ	El Portal de Salta
negativo	0.0	0.089	0.911	-0.5574	Noticias Cresta Sin Cresta – Martes 27 agosto 2019: Venezolanos cerraron el paso hacia Ecuador en protesta contra exigencia de Visas. ACNUR ejecuta plan de contingencia para migrantes venezolanos en Ecuador. Tal Cual: Gobierno ecuatoriano dice que visado… http://dlvr.it/RBzZbv	EscenaRock
neutro	0.0	0.0	1.0	0.0	"""Ecuador aplicará a partir de ahora dos nuevos tipos de visas a los migrantes venezolanos que buscan radicarse en el país, informó el presidente Moreno."	La Hora Ecuador
neutro	0.0	0.0	1.0	0.0	Países como Colombia, Perú y Ecuador son los más afectados por la migración venezolana https://konzapata.com/noticia/72670/katalejo/el-exodo-venezolano-tambien-es-un-problema-economico-para-america-latina.html … ,	KonZapata.com
neutro	0.0	0.0	1.0	0.0	#SepaQue La portavoz de Acnur también mostró preocupación por las muestras de xenofobia y discriminación contra venezolanos en Perú, Brasil, Colombia y Ecuador, aunque resaltó que esa actitud corresponde a “una minoría”. http://bit.ly/2Ov2I0S	Efecto Cocuyo
negativo	0.0	0.104	0.896	-0.296	"""No es xenofobia,""""buenista"""" es realidad. Si te ofrecen abaratar los costos, pues lo haces.Una empresa es un negocio,no una """"beneficiencia-socialista""""."	Sandro Libertario.
negativo	0.0	0.151	0.849	-0.5216	@CONAIE_Ecuador ustedes, no les basta seguir en contubernio con lis sedosos correístas, y sus contratadoss saqueadores, asesinos venezolanos, AHORA SON SECUESTRADORES!!!!!	Miryam
neutro	0.0	0.0	1.0	0.0	Si claro , la intervención . Alistemonos a morir en grupos, venezolanos dentro y fuera del país, Colombia, Brasil, Estados unidos , ecuador etc. Y  por parte del desgraciado asesino del maduro, estaría Rusia, Cuba, la guerrilla colombiana , China, Bolivia, Nicaragua etc.	Rubiela
neutro	0.0	0.0	1.0	0.0	"""Ecuador dejará pasar por su territorio a migrantes venezolanos con visa de ingreso a otro país"	DolarToday®
negativo	0.0	0.19	0.81	-0.7065	@Lenin NO SE REFIERA A LOS VENEZOLANO, SON CHAVISTAS DEL REGIMEN DE MADURO ENVIADOS A ALTERAR EL ORDEN EN ECUADOR, NO SON TODOS LOS VENEZOLANOS, EVITE LA XENOFOBIA @jguaido	Gerardo Noriega
negativo	0.055	0.0	0.945	0.2732	La Asociación Venezuela en Ecuador, advirtió de un incremento de venezolanos en el puente fronterizo de Rumichaca, ante la inminente entrada en vigor de una nueva visa para aceptar a inmigrantes de esa nacionalidad al país ecuatoriano. #ElToqueDeDianapic.twitter.com/cr8IXAq11R	El Toque de Diana
neutro	0.0	0.0	1.0	0.0	#Migración | ¿Sabías que aún los migrantes venezolanos siguen evadiendo controles fronterizos para ingresar vía terrestre a #Ecuador? Algunos han optado por  atravesar trochas para superar la frontera pagando dinero y arriesgando sus vidas #23Dichttp://bit.ly/2tqTlXZ	El Pitazo
neutro	0.0	0.0	1.0	0.0	Plantón de venezolanos en Ecuador al grito de “libertad” y “fuera dictadura” - http://tinyurl.com/y925ruvn	Noticias Regionales
neutro	0.0	0.0	1.0	0.0	Niño venezolano habría sido víctima de xenofobia en Ecuador https://buff.ly/33aFFNT  #4Novpic.twitter.com/NhFFDVCMo6	Informe21.com
neutro	0.0	0.0	1.0	0.0	Ecuador declara emergencia para atender migración venezolana http://dlvr.it/QfKMhs pic.twitter.com/4IPknUvfE1	EnCabezaDos
negativo	0.0	0.052	0.948	-0.296	Ud antes de dejar entrar al país deberían de pedir los antecedentes penales de vzla sellado como lo esta haciendo Perú y Ecuador...Y después si dar el pep..Hay muchos venezolanos q han robado y matado a muchos colombianos y a nosotros el gobierno y migración no nos responde...	Zuley Xiomara Gamboa
neutro	0.0	0.0	1.0	0.0	Ecuador declara estado de emergencia en tres provincias por migración venezolana - http://bit.ly/2KAUHm1	Runrunes
neutro	0.0	0.0	1.0	0.0	Así como en Venezuela decíamos que en los funcionarios habían cubanos ..podemos decir que en Ecuador hay funcionarios asesinos venezolanos.acruan igual. https://twitter.com/abogadosvenezu1/status/1180302800951169030 …	RAFAEL UZCATEGUi
neutro	0.0	0.0	1.0	0.0	Colombia pondrá en marcha un plan de contingencia antes que Ecuador pida visa a migrantes venezolanos http://bit.ly/30jGG4N	El Pitazo
negativo	0.0	0.128	0.872	-0.5267	No es mi intencion ofender a venezolanos.conozco algunos q son gente d bien.pero no puedes comparar el ingreso masivo al Ecuador,hay bandas q los mismos venezolanos que viven aquí reconocen su peligrosidad x eso lamentablemente hay xenofobia	Claudia Alvarez 💙
neutro	0.0	0.0	1.0	0.0	""". @Rucruzpa está recorriendo Ecuador con @redamazonia antes del #SínodoAmazónico"	Revista Vida Nueva
